operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Tlalpan|Distrito Federal|México|,,4950000,MXN,4906384.18,260859.94,180,270,1449.221889,18333.33333,,,,http://tlalpan.properati.com.mx/prcu_venta_casa_tlalpan_b-raices-inmobiliaria-s-c
sell,house,|Gustavo A. Madero|Distrito Federal|México|,,11500000,MXN,11398670.23,606038.24,564,0,1074.535887,,,,,http://gustavo-a-madero.properati.com.mx/pb30_venta_casa_gustavo-a-madero_martinez-y-asociados-bienes-raices
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.291001,-99.123926",1380000,MXN,1367516,72707.34,,65,,21230.76923,,,,http://tlalpan.properati.com.mx/qv4n_venta_departamento_tlalpan_la-teja_1_frank-galindo
sell,house,|Benito Juárez|Quintana Roo|México|,"21.1387234,-86.8703338",650000,MXN,644119.84,34246.21,0,0,,,,,,http://cancun.properati.com.mx/nzyz_venta_casa_cancun_the-top-real-estate
sell,apartment,|Venustiano Carranza|Distrito Federal|México|,"19.428152,-99.106194",1275000,MXN,1263465.87,67175.26,,68,,18750,,,,http://venustiano-carranza.properati.com.mx/ort4_venta_departamento_venustiano-carranza_inventario-inmobiliario-8
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.1645530165,-86.8199585397",455000,USD,8557867.5,455000,241,183,1887.966805,2486.338798,,,,http://cancun.properati.com.mx/cato_venta_departamento_cancun
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.369579,-99.174471",6731220,MXN,6670327.5,354644.31,,146,,46104.24658,,,,http://benito-juarez.properati.com.mx/pemi_venta_departamento_benito-juarez_bartolache_0_alfa-elite
sell,apartment,|Coyoacán|Distrito Federal|México|,"19.313806,-99.106842",1100000,MXN,1090049.06,57955.13,,58,,18965.51724,,,,http://coyoacan.properati.com.mx/oswb_venta_departamento_coyoacan_teresa-vera_arq-elizabeth-nevarez-hernandez
sell,house,|Benito Juárez|Quintana Roo|México|,"21.1078628699,-86.8461030722",8000000,MXN,7929509.74,421591.82,535,450,788.0220935,17777.77778,2,,,http://cancun.properati.com.mx/nh04_venta_casa_cancun_bienes-raices-cancun-q-roo
sell,apartment,|Iztacalco|Distrito Federal|México|,"19.410307,-99.065399",820000,MXN,812581.93,43202.91,,50,,16400,,,,http://iztacalco.properati.com.mx/pinu_venta_departamento_iztacalco_inventario-inmobiliario-8
